t,Month,Hotel Occupancy (Y),logY
1,Jan,501,2.700
2,Feb,488,2.688
3,Mar,504,2.702
4,Apr,578,2.762
5,May,545,2.736
6,Jun,632,2.801
7,Jul,728,2.862
8,Aug,725,2.860
9,Sep,585,2.767
10,Oct,542,2.734
11,Nov,480,2.681
12,Dec,530,2.724
13,Jan,518,2.714
14,Feb,489,2.689
15,Mar,528,2.723
16,Apr,599,2.777
17,May,572,2.757
18,Jun,659,2.819
19,Jul,739,2.869
20,Aug,758,2.880
21,Sep,602,2.780
22,Oct,587,2.769
23,Nov,497,2.696
24,Dec,558,2.747
25,Jan,555,2.744
26,Feb,523,2.719
27,Mar,532,2.726
28,Apr,623,2.794
29,May,598,2.777
30,Jun,683,2.834
31,Jul,774,2.889
32,Aug,780,2.892
33,Sep,609,2.785
34,Oct,604,2.781
35,Nov,531,2.725
36,Dec,592,2.772
37,Jan,578,2.762
38,Feb,543,2.735
39,Mar,565,2.752
40,Apr,648,2.812
41,May,615,2.789
42,Jun,697,2.843
43,Jul,785,2.895
44,Aug,830,2.919
45,Sep,645,2.810
46,Oct,643,2.808
47,Nov,551,2.741
48,Dec,606,2.782
49,Jan,585,2.767
50,Feb,553,2.743
51,Mar,576,2.760
52,Apr,665,2.823
53,May,656,2.817
54,Jun,720,2.857
55,Jul,826,2.917
56,Aug,838,2.923
57,Sep,652,2.814
58,Oct,661,2.820
59,Nov,584,2.766
60,Dec,644,2.809
61,Jan,623,2.794
62,Feb,553,2.743
63,Mar,599,2.777
64,Apr,657,2.818
65,May,680,2.833
66,Jun,759,2.880
67,Jul,878,2.943
68,Aug,881,2.945
69,Sep,705,2.848
70,Oct,684,2.835
71,Nov,577,2.761
72,Dec,656,2.817
73,Jan,645,2.810
74,Feb,593,2.773
75,Mar,617,2.790
76,Apr,686,2.836
77,May,679,2.832
78,Jun,773,2.888
79,Jul,906,2.957
80,Aug,934,2.970
81,Sep,713,2.853
82,Oct,710,2.851
83,Nov,600,2.778
84,Dec,676,2.830
85,Jan,645,2.810
86,Feb,602,2.780
87,Mar,601,2.779
88,Apr,709,2.851
89,May,706,2.849
90,Jun,817,2.912
91,Jul,930,2.968
92,Aug,983,2.993
93,Sep,745,2.872
94,Oct,735,2.866
95,Nov,620,2.792
96,Dec,698,2.844
97,Jan,665,2.823
98,Feb,626,2.797
99,Mar,649,2.812
100,Apr,740,2.869
101,May,729,2.863
102,Jun,824,2.916
103,Jul,937,2.972
104,Aug,994,2.997
105,Sep,781,2.893
106,Oct,759,2.880
107,Nov,643,2.808
108,Dec,728,2.862
109,Jan,691,2.839
110,Feb,649,2.812
111,Mar,656,2.817
112,Apr,735,2.866
113,May,748,2.874
114,Jun,837,2.923
115,Jul,995,2.998
116,Aug,1040,3.017
117,Sep,809,2.908
118,Oct,793,2.899
119,Nov,692,2.840
120,Dec,763,2.883
121,Jan,723,2.859
122,Feb,655,2.816
123,Mar,658,2.818
124,Apr,761,2.881
125,May,768,2.885
126,Jun,885,2.947
127,Jul,1067,3.028
128,Aug,1038,3.016
129,Sep,812,2.910
130,Oct,790,2.898
131,Nov,692,2.840
132,Dec,782,2.893
133,Jan,758,2.880
134,Feb,709,2.851
135,Mar,715,2.854
136,Apr,788,2.897
137,May,794,2.900
138,Jun,893,2.951
139,Jul,1046,3.020
140,Aug,1075,3.031
141,Sep,812,2.910
142,Oct,822,2.915
143,Nov,714,2.854
144,Dec,802,2.904
145,Jan,748,2.874
146,Feb,731,2.864
147,Mar,748,2.874
148,Apr,827,2.918
149,May,788,2.897
150,Jun,937,2.972
151,Jul,1076,3.032
152,Aug,1125,3.051
153,Sep,840,2.924
154,Oct,864,2.937
155,Nov,717,2.856
156,Dec,813,2.910
157,Jan,811,2.909
158,Feb,732,2.865
159,Mar,745,2.872
160,Apr,844,2.926
161,May,833,2.921
162,Jun,935,2.971
163,Jul,1110,3.045
164,Aug,1124,3.051
165,Sep,868,2.939
166,Oct,860,2.934
167,Nov,762,2.882
168,Dec,877,2.943
